sa_2022_code,town_name,town_name_alt,county,method,distance_km
017010026,Carlow,,Carlow,within_settlement,0.4
017010027,Carlow,,Carlow,within_settlement,0.6
017010028,Carlow,,Carlow,within_settlement,0.76
017010029/017010046,Carlow,,Carlow,within_settlement,1.6
017010030,Carlow,,Carlow,within_settlement,2.43
017010031,Carlow,,Carlow,within_settlement,0.81
017010032,Carlow,,Carlow,within_settlement,0.71
017010033,Carlow,,Carlow,within_settlement,1.09
017010034/01,Carlow,,Carlow,within_settlement,1.39
017010034/02,Carlow,,Carlow,within_settlement,1.3
017010035,Carlow,,Carlow,within_settlement,0.79
017010036,Carlow,,Carlow,within_settlement,1.21
017010037,Carlow,,Carlow,within_settlement,0.89
017010038,Carlow,,Carlow,within_settlement,2.08
017010039,Kernanstown,,Carlow,nearest_settlement,1.82
017010040,Carlow,,Carlow,within_settlement,0.81
017010041,Carlow,,Carlow,within_settlement,0.94
017010042,Carlow,,Carlow,within_settlement,1.19
017010043,Carlow,,Carlow,within_settlement,0.85
017010044,Carlow,,Carlow,within_settlement,0.56
017010045,Carlow,,Carlow,within_settlement,0.56
017010046,Carlow,,Carlow,within_settlement,1.71
017010047,Carlow,,Carlow,within_settlement,1.46
017010048,Carlow,,Carlow,within_settlement,1.67
017010049/017010048,Carlow,,Carlow,within_settlement,1.51
017011001,Carlow,,Carlow,within_settlement,0.84
017011002,Carlow,,Carlow,within_settlement,0.91
017011003,Carlow,,Carlow,within_settlement,0.77
017011004,Carlow,,Carlow,within_settlement,0.88
017011005,Carlow,,Carlow,within_settlement,0.7
017011006,Carlow,,Carlow,within_settlement,0.79
017011007,Carlow,,Carlow,within_settlement,0.85
017011008,Carlow,,Carlow,within_settlement,0.91
017011009,Carlow,,Carlow,within_settlement,1.05
017011010,Carlow,,Carlow,within_settlement,0.53
017011011,Carlow,,Carlow,within_settlement,0.34
017011012,Carlow,,Carlow,within_settlement,0.59
017011013,Carlow,,Carlow,within_settlement,0.17
017011014,Carlow,,Carlow,within_settlement,0.11
017011015,Carlow,,Carlow,within_settlement,0.36
017011016,Carlow,,Carlow,within_settlement,0.31
017011017,Carlow,,Carlow,within_settlement,0.27
017011018,Carlow,,Carlow,within_settlement,0.18
017011019,Carlow,,Carlow,within_settlement,0.65
017011020,Carlow,,Carlow,within_settlement,0.45
017011021,Carlow,,Carlow,within_settlement,0.53
017011022,Carlow,,Carlow,within_settlement,0.47
017011023,Carlow,,Carlow,within_settlement,0.47
017011024,Carlow,,Carlow,within_settlement,0.43
017012001,Ballinabrannagh,,Carlow,nearest_settlement,1.99
017012004/01,Ballinabrannagh,,Carlow,nearest_settlement,0.8
017012004/02,Ballinabrannagh,,Carlow,within_settlement,0.17
017012004/02/017012002/017012003,Ballinabrannagh,,Carlow,within_settlement,0.17
017013001,Kildavin,,Carlow,nearest_settlement,0.49
017013002,Kildavin,,Carlow,within_settlement,0.0
017013003,Clonegall,,Carlow,nearest_settlement,2.32
017013004,Clonegall,,Carlow,within_settlement,0.0
017014001,Hacketstown,,Carlow,nearest_settlement,5.54
017014002,Hacketstown,,Carlow,nearest_settlement,3.12
017015001,Borris,,Carlow,nearest_settlement,8.41
017016001,Muinebeag (Bagenalstown),,Carlow,nearest_settlement,5.78
017016002,Fennagh,,Carlow,nearest_settlement,5.77
017017001,Kildavin,,Carlow,nearest_settlement,4.44
017017002,Bunclody,,Carlow,within_settlement,1.03
017017003,Kildavin,,Carlow,nearest_settlement,2.26
017017004,Bunclody,,Carlow,within_settlement,0.65
017018002/017018001,Fennagh,,Carlow,nearest_settlement,0.79
017018003,Fennagh,,Carlow,within_settlement,0.0
017019001,Myshall,,Carlow,nearest_settlement,4.58
017019002,Fennagh,,Carlow,nearest_settlement,3.38
017020001,Borris,,Carlow,nearest_settlement,12.79
017021001,Rathtoe,,Carlow,nearest_settlement,3.0
017021002,Tullow,,Carlow,nearest_settlement,4.41
017022001,Hacketstown,,Carlow,nearest_settlement,2.07
017022002,Hacketstown,,Carlow,nearest_settlement,1.46
